CO16,Colchester,615400,218200
CO2,Colchester,599300,223000
CO3,Colchester,597000,224600
CO4,Colchester,601100,227200
CO5,Colchester,594500,216700
CO6,Colchester,591800,228800
CO7,Colchester,606800,224900
CO8,Colchester,590100,234200
CO9,Colchester,579300,233300
CR0,Croydon,534000,165500
CR2,Croydon,533700,163000
CR3,Croydon,533900,156000
CR4,Croydon,528100,168900
CR5,Croydon,529700,158700
CR6,Croydon,535800,158400
CR7,Croydon,532000,168000
CR8,Croydon,531600,161400
CT1,Canterbury,615300,157700
CT10,Canterbury,638800,168200
CT11,Canterbury,637800,165200
CT12,Canterbury,634900,165800
CT13,Canterbury,632300,157300
CT14,Canterbury,636500,151800
CT15,Canterbury,629500,146500
CT16,Canterbury,631000,143100
CT17,Canterbury,630600,141800
CT18,Canterbury,620500,139800
CT19,Canterbury,622000,136900
CT2,Canterbury,614900,159400
CT20,Canterbury,621700,135900
CT21,Canterbury,615600,134900
CT3,Canterbury,624000,158100
CT4,Canterbury,614200,151800
CT5,Canterbury,611400,166000
CT6,Canterbury,617900,167500
CT7,Canterbury,629700,168800
CT8,Canterbury,632500,169900
CT9,Canterbury,635900,170400
CV1,Coventry,433600,279200
CV10,Coventry,433900,292100
CV11,Coventry,437100,291400
CV12,Coventry,435800,286400
CV13,Coventry,439700,301800
CV2,Coventry,436400,280700
CV21,Coventry,449400,274700
CV22,Coventry,448600,273300
CV23,Coventry,447100,274000
CV3,Coventry,435300,277400
CV31,Coventry,432500,264600
CV32,Coventry,432000,266600
CV33,Coventry,435200,262300
CV34,Coventry,428700,265100
CV35,Coventry,427700,259100
CV36,Coventry,425700,241100
CV37,Coventry,419600,254200
CV4,Coventry,429600,277900
CV47,Coventry,442000,259700
CV5,Coventry,430600,279500
CV6,Coventry,433500,281700
CV7,Coventry,429700,283000
CV8,Coventry,431100,272700
CV9,Coventry,429900,298700
CW1,Crewe,370900,356300
CW10,Crewe,370200,365900
CW11,Crewe,375600,360700
CW12,Crewe,385900,363100
CW2,Crewe,370100,353900
CW3,Crewe,372800,344800
CW4,Crewe,376800,367800
CW5,Crewe,365100,351800
CW6,Crewe,355500,363000
CW7,Crewe,364800,366100
CW8,Crewe,362400,373100
CW9,Crewe,366600,373700
DA1,Dartford,553500,174300
DA10,Dartford,560400,174300
DA11,Dartford,563600,173300
DA12,Dartford,566000,172600
DA13,Dartford,563900,167500
DA14,Dartford,546900,171700
DA15,Dartford,545900,173400
DA16,Dartford,546500,176100
DA17,Dartford,549200,178700
DA18,Dartford,548800,179200
DA2,Dartford,555300,172700
DA3,Dartford,560700,167600
DA4,Dartford,555300,168200
DA5,Dartford,549200,173500
DA6,Dartford,548700,175100
DA7,Dartford,549100,176300
DA8,Dartford,551200,177500
DA9,Dartford,558400,174600
DD1,Dundee,339800,730300
DD10,Dundee,373900,761800
DD11,Dundee,363300,742500
DD2,Dundee,336700,731300
DD3,Dundee,339100,732700
DD4,Dundee,342400,732600
DD5,Dundee,346900,732100
DD6,Dundee,342900,727600
DD7,Dundee,355800,734800
DD8,Dundee,343500,752000
DD9,Dundee,359200,762000
DE1,Derby,435300,336000
DE11,Derby,430100,319700
DE12,Derby,430200,314300
DE13,Derby,421000,323400
DE14,Derby,424300,323100
DE15,Derby,426400,322500
DE21,Derby,438200,337500
DE22,Derby,433900,337500
DE23,Derby,434000,333900
DE24,Derby,436900,332700
DE3,Derby,430900,334700
DE4,Derby,429200,359000
DE45,Derby,421600,368700
DE5,Derby,440100,349900
DE55,Derby,442100,356200
DE56,Derby,435300,347300
DE6,Derby,419000,344100
DE65,Derby,426300,330000
DE7,Derby,445600,341900
DE72,Derby,443100,333100
DE73,Derby,438000,327900
DE74,Derby,445200,327600
DE75,Derby,443400,346400
DG1,Dumfries,299100,576600
DG10,Dumfries,308800,603800
DG11,Dumfries,314800,580700
DG12,Dumfries,320000,566800
DG13,Dumfries,334500,587000
DG14,Dumfries,337100,576700
DG16,Dumfries,331700,567500
DG2,Dumfries,294200,575700
DG3,Dumfries,285600,595100
DG4,Dumfries,276300,610800
DG5,Dumfries,284000,560100
DG6,Dumfries,268000,551100
DG7,Dumfries,271200,565500
DG8,Dumfries,238600,556000
DG9,Dumfries,206200,557900
DH1,Durham,427900,543000
DH2,Durham,425900,551700
DH3,Durham,427800,553100
DH4,Durham,432700,551200
DH5,Durham,435100,547800
DH6,Durham,434500,539900
DH7,Durham,421600,543900
DH8,Durham,410000,551200
DH9,Durham,418800,552600
